,System Time,Variant,Total Elapsed Time (sec),Measured RDTSC Frequency (GHz),Cumulative Package Energy_0 (Joules),Cumulative Package Energy_0 (mWh),Average Package Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0 (mWh),Average Package IA_0 (Watt),Cumulative DRAM Energy_0 (Joules),Cumulative DRAM Energy_0 (mWh),Average Package DRAM_0 (Watt),Average Package Temperature_0(C),Median Package Temperature_0(C),Minimum Package Temperature_0(C),Maximum Package Temperature_0(C)
89,2023-05-22 07:39:15.353984,safari_static,93.47818,2.295,302.644852,84.068014,3.237599,64.555298,17.932027,0.690592,5652.0,1570.0,60.463308,35.097297297297295,34.0,30.0,51.0
148,2023-05-22 07:41:19.918850304,chrome_static,94.427616,2.295,383.652695,106.570193,4.062929,138.276733,38.410204,1.464368,5883.0,1634.166667,62.301689,37.26737967914438,37.0,31.0,53.0
143,2023-05-22 07:43:25.451164416,chrome_static,95.052137,2.295,385.827377,107.174271,4.059113,138.405212,38.445892,1.456098,6019.0,1671.944444,63.323143,37.712765957446805,37.0,31.0,53.0
45,2023-05-22 07:45:32.899877120,chrome_dynamic,98.602227,2.295,401.581909,111.55053,4.072747,144.250137,40.069483,1.46295,6264.0,1740.0,63.527977,37.728205128205126,37.0,31.0,51.0
48,2023-05-22 07:47:40.483386112,chrome_dynamic,95.232923,2.295,390.700729,108.52798,4.10258,142.367111,39.54642,1.494936,6090.0,1691.666667,63.948473,37.767195767195766,35.0,31.0,53.0
95,2023-05-22 07:50:05.566837760,safari_static,133.84213,2.295,434.294464,120.637351,3.244826,87.654816,24.34856,0.654912,8332.0,2314.444444,62.252446,35.95471698113207,34.0,31.0,51.0
43,2023-05-22 07:52:30.422727424,chrome_dynamic,94.56776,2.295,385.911743,107.197706,4.080796,140.022949,38.895264,1.480663,5974.0,1659.444444,63.171635,37.283422459893046,35.0,31.0,53.0
40,2023-05-22 07:54:35.914824704,chrome_dynamic,95.085149,2.295,383.705688,106.584913,4.03539,135.940521,37.761256,1.429671,6185.0,1718.055556,65.046961,37.8936170212766,36.0,32.0,53.0
140,2023-05-22 07:56:43.142236928,chrome_static,98.039796,2.295,406.266068,112.851685,4.143889,148.674683,41.298523,1.516473,6422.0,1783.888889,65.504012,38.29381443298969,37.0,32.0,49.0
193,2023-05-22 07:59:09.658686720,safari_dynamic,133.85498,2.295,429.898117,119.416144,3.211671,83.845261,23.29035,0.626389,8315.0,2309.722222,62.119467,35.54716981132076,33.0,31.0,50.0
98,2023-05-22 08:01:34.084076032,safari_static,93.634245,2.295,301.733139,83.814761,3.222466,63.438965,17.621935,0.677519,5721.0,1589.166667,61.099441,35.08108108108108,33.0,31.0,49.0
93,2023-05-22 08:03:38.331913728,safari_static,93.628083,2.295,300.646225,83.51284,3.211069,62.521469,17.367075,0.667764,5713.0,1586.944444,61.018017,35.4054054054054,33.0,30.0,51.0
0,2023-05-22 08:05:43.204261120,chrome_dynamic,94.984488,2.295,382.866501,106.351806,4.030832,135.842834,37.734121,1.430158,6005.0,1668.055556,63.220849,37.297872340425535,34.5,31.0,52.0
90,2023-05-22 08:07:48.330333696,safari_static,94.002026,2.295,308.382584,85.661829,3.280595,68.306961,18.974156,0.726654,5774.0,1603.888889,61.424208,35.80107526881721,33.0,31.0,48.0
5,2023-05-22 08:09:54.831709696,chrome_dynamic,97.567273,2.295,391.619492,108.783192,4.013841,138.04982,38.347172,1.414919,6158.0,1710.555556,63.115426,36.994818652849744,35.0,31.0,49.0
50,2023-05-22 08:12:01.384252672,safari_static,94.146623,2.295,306.778748,85.216319,3.258521,66.455399,18.459833,0.705871,5741.0,1594.722222,60.979351,36.0,35.0,30.0,49.0
100,2023-05-22 08:14:07.092789504,chrome_static,96.099144,2.295,431.786697,119.940749,4.493138,179.009567,49.72488,1.862759,6122.0,1700.555556,63.705042,38.8,39.0,31.0,51.0
105,2023-05-22 08:16:13.183680512,chrome_static,94.765182,2.295,477.636719,132.676866,5.040213,223.7435,62.150972,2.361031,6369.0,1769.166667,67.208229,40.898936170212764,43.0,32.0,54.0
26,2023-05-22 08:18:18.393048064,chrome_dynamic,94.501437,2.295,383.811584,106.614329,4.061437,137.478134,38.188371,1.454773,6160.0,1711.111111,65.184194,38.283422459893046,37.0,32.0,55.0
190,2023-05-22 08:20:23.339150336,safari_dynamic,94.013112,2.295,306.098175,85.027271,3.255909,65.787506,18.274307,0.699769,5893.0,1636.944444,62.682746,35.865591397849464,33.5,31.0,50.0
55,2023-05-22 08:22:28.165972992,safari_static,94.170501,2.295,307.568863,85.435795,3.266085,66.721222,18.533673,0.708515,5890.0,1636.111111,62.546126,35.903225806451616,35.0,31.0,50.0
